date,time,account,direction,amount,category,group,merchant,desc
2026-03-08,,UOB บัตรเครดิต,out,284.0,ห้าง/ช้อปปิ้ง,discretionary,The Mall,THE MALL SUP.BANGKAE BANGKOK
2026-03-08,,UOB บัตรเครดิต,out,417.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-08,,UOB บัตรเครดิต,out,1078.0,อาหาร/ร้านอาหาร,discretionary,Bar B Q Plaza,BAR BQ PLAZA-MALL 7 FL BANGKOK
2026-03-08,,UOB บัตรเครดิต,out,1621.0,อาหาร/ร้านอาหาร,discretionary,Mitoki,MITOKI JAPANESE RESTAU BANGKOK
2026-03-09,,UOB บัตรเครดิต,out,96.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-09,,UOB บัตรเครดิต,out,149.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-09,,UOB บัตรเครดิต,out,297.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-10,,UOB บัตรเครดิต,out,104.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-10,,UOB บัตรเครดิต,out,704.0,อาหาร/ร้านอาหาร,discretionary,Sushiro,SUSHIRO GH (TH) C.BANG BANGKOK
2026-03-10,,UOB บัตรเครดิต,out,900.0,เสื้อผ้า/แฟชั่น,discretionary,ศรีบุษณา,SRIBUSANA LIMITED PART BANGKOK
2026-03-11,,UOB บัตรเครดิต,out,10.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-11,,UOB บัตรเครดิต,out,135.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-11,,UOB บัตรเครดิต,out,529.0,ค่าใช้จ่ายอื่น,transfer,HCB00152-IMCN BANGKOK,HCB00152-IMCN BANGKOK
2026-03-12,,UOB บัตรเครดิต,out,819.4,ห้าง/ช้อปปิ้ง,discretionary,The Mall,THE MALL-BANGKAE BANGKOK
2026-03-12,,UOB บัตรเครดิต,out,65.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-12,,UOB บัตรเครดิต,out,89.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-12,,UOB บัตรเครดิต,out,128.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-12,,UOB บัตรเครดิต,out,428.5,ร้านสะดวกซื้อ,essential,Lotus,TMN LOTUS HYPER BANGKOK
2026-03-12,,UOB บัตรเครดิต,out,1346.49,อาหาร/ร้านอาหาร,discretionary,Maguro,MAGURO-THE MALL BANGKA BANGKOK
2026-03-13,,UOB บัตรเครดิต,out,30.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-13,,UOB บัตรเครดิต,out,60.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-13,,UOB บัตรเครดิต,out,69.0,ร้านสะดวกซื้อ,essential,Lotus,TMN LOTUS HYPER BANGKOK
2026-03-13,,UOB บัตรเครดิต,out,141.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-13,,UOB บัตรเครดิต,out,180.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-13,,UOB บัตรเครดิต,out,512.0,ร้านสะดวกซื้อ,essential,Lotus,TMN LOTUS HYPER BANGKOK
2026-03-13,,UOB บัตรเครดิต,out,800.0,โรงพยาบาล/สุขภาพ,essential,รพ.กรุงเทพคริสเตียน,BANGKOK CHRISTIAN HOS. BANGKOK
2026-03-14,,UOB บัตรเครดิต,out,115.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-15,,UOB บัตรเครดิต,out,123.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-15,,UOB บัตรเครดิต,out,871.0,ค่าใช้จ่ายอื่น,transfer,HCB00152-IMCN BANGKOK,HCB00152-IMCN BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,43.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,50.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,104.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,120.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,174.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,239.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,283.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,294.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-16,,UOB บัตรเครดิต,out,346.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-17,,UOB บัตรเครดิต,out,50.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-17,,UOB บัตรเครดิต,out,149.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-17,,UOB บัตรเครดิต,out,165.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-17,,UOB บัตรเครดิต,out,179.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-17,,UOB บัตรเครดิต,out,300.0,เดินทาง/ขนส่ง,essential,BTS/รถไฟฟ้า,TMN MRT BANGKOK
2026-03-17,,UOB บัตรเครดิต,out,538.0,ร้านสะดวกซื้อ,essential,Makro,MAKRO_CHARANSANITWONG BANGKOK
2026-03-17,,UOB บัตรเครดิต,out,900.0,ค่าใช้จ่ายอื่น,transfer,"BSRC-NAIPRUNG CO.,LTD( BANGK","BSRC-NAIPRUNG CO.,LTD( BANGKOK"
